"dane_code","first_round_2014","first_round_2018","first_round_2022","second_round_2014","second_round_2018","second_round_2022","flip_1st_14_18","flip_1st_18_22","flip_2nd_14_18","flip_2nd_18_22"
63594,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
63690,"right","right","right","right","right","center-right","stable right","stable right","stable right","stable right"
66001,"right","center-left","left","right","right","left","flip to left","stable left","stable right","flip to left"
66045,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
66075,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
66088,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
66170,"right","center-left","left","right","right","center-right","flip to left","stable left","stable right","stable right"
66318,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
66383,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
66400,"right","right","left","center-right","right","center-right","stable right","flip to left","stable right","stable right"
66440,"right","right","right","right","right","left","stable right","stable right","stable right","flip to left"
66456,"right","right","left","right","right","center-right","stable right","flip to left","stable right","stable right"
66572,"center-right","left","left","center-right","left","center-right","flip to left","stable left","flip to left","flip to right"
66594,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
66682,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
66687,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68001,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68013,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
68020,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68051,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68077,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
68079,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
68081,"center-left","left","left","center-right","left","center-right","stable left","stable left","flip to left","flip to right"
68092,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
