"dane_code","first_round_2014","first_round_2018","first_round_2022","second_round_2014","second_round_2018","second_round_2022","flip_1st_14_18","flip_1st_18_22","flip_2nd_14_18","flip_2nd_18_22"
25807,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
25815,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
25817,"right","center-left","center-right","center-right","left","center-right","flip to left","flip to right","flip to left","flip to right"
25823,"right","right","center-right","center-right","right","left","stable right","stable right","stable right","flip to left"
25839,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
25841,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
25843,"right","center-left","center-right","right","right","center-right","flip to left","flip to right","stable right","stable right"
25845,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
25851,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
25862,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
25867,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
25871,"center-right","right","center-right","center-right","right","center-right","stable right","stable right","stable right","stable right"
25873,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
25875,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
25878,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
25885,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
25898,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
25899,"right","center-left","left","center-right","left","center-right","flip to left","stable left","flip to left","flip to right"
27001,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
27006,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
27025,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
27050,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
27073,"center-right","center-right","left","center-right","left","left","stable right","flip to left","flip to left","stable left"
27075,"center-right","center-right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
27077,"center-right","center-right","left","center-right","left","left","stable right","flip to left","flip to left","stable left"
27099,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
27135,"center-right","center-right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
27150,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
27160,"center-right","left","left","center-right","right","left","flip to left","stable left","stable right","flip to left"
27205,"center-right","left","left","right","left","left","flip to left","stable left","flip to left","stable left"
27245,"center-right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
27250,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
27361,"center-right","left","left","right","left","left","flip to left","stable left","flip to left","stable left"
27372,"center-right","left","left","center-right","right","left","flip to left","stable left","stable right","flip to left"
27413,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
27425,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
27430,"center-right","center-right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
27450,"center-right","left","left","center-right","left","center-right","flip to left","stable left","flip to left","flip to right"
27491,"right","right","left","right","right","left","stable right","flip to left","stable right","flip to left"
27495,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
27580,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
27600,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
27615,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
27660,"center-right","left","left","center-right","left","left","flip to left","stable left","flip to left","stable left"
27745,"center-right","left","left","right","left","left","flip to left","stable left","flip to left","stable left"
27787,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
27800,"center-right","right","left","center-right","right","left","stable right","flip to left","stable right","flip to left"
27810,"center-right","right","left","right","right","left","stable right","flip to left","stable right","flip to left"
41001,"right","right","left","right","right","center-right","stable right","flip to left","stable right","stable right"
41006,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41013,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41016,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41020,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41026,"right","right","left","right","right","center-right","stable right","flip to left","stable right","stable right"
41078,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41132,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41206,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41244,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41298,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41306,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41319,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41349,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41357,"right","right","left","right","right","center-right","stable right","flip to left","stable right","stable right"
41359,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41378,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41396,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41483,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
41503,"right","right","center-right","right","right","left","stable right","stable right","stable right","flip to left"
41518,"right","right","center-right","right","right","center-right","stable right","stable right","stable right","stable right"
